P, A, etiqueta
"¿Debería confesarme en el Día Blanco?", "Confesar honesta y confiadamente al dar un regalo",2
“No me maquillé, pero me divertí mucho. ¿Qué debo hacer?”, “Trata de ocultarlo de la luz del baño un poco más lejos”,2
"¿Puedo ser amiga de un chico que sé que le gusto?", "No puedes hacer eso por él",2
“Hay gente que no hace la pre-venta e intencionalmente la envían tarde para demostrar que les interesa aunque definitivamente les gusta”, “Hay muchas”,2
“Se lo confesé a mi pareja enfadada”, “Estás caliente”,2
“Recibí una invitación para jugar de mi compañero de empresa y hermano”, “Debe haber sido emocionante, pero es una pena”,2
“Tengo un chico que me gusta en el trabajo. ¿Qué debo hacer?”, “Debe ser una relación difícil de amar”,2
“Sigo haciendo contacto visual con alguien en el trabajo”, “Mira atentamente para ver si tu contacto visual es una coincidencia”,2
“Dice que están cenando, pero no puedo comunicarme contigo”, “Puede que esté muy ocupado. Creo que es mejor esperar un poco más y preguntar”, 2
“Durante una cena de empresa, cuídate solo de mí, Soim”, “Puede que estés enamorado de mí, pero vigila un poco más la situación”,2
“Quiero amar sin remordimientos”, “Acércate a mí sinceramente”,2
“Hasta el espionaje se nota”, “Porque se nota, se nota”,2
“Hasta el espionaje se nota”, “El espionaje parece obvio”,2
"El compañero del caballero negro", "Estoy emocionado", 2
“Cuál es la diferencia entre una relación dura y una buena relación”, “Creo que es si puedes romper bien o no”,2
“Tengo miedo de casarme porque la estoy pasando mal”, “Espero que no te cases como refugio”,2
"buenos dias","hola",0
"Buenos días","Encantado de conocerte",0
"Buenos días","Buenos días",0
"Buenos días","No hiciste mucho anoche",0
"Buenos días","Hola",0
"buenos dias","hola",0
"buenos dias","hola",0
"Buenos días","Hola",0
"Buenos días","Encantado de conocerte",0
"Buenos días","Buenos días",0
"Buenos días","No hiciste mucho anoche",0
"Buenos días","Hola",0
"Buenos días","Hola",0
"Buenos días","Hola",0
"Hola","Hola",0
"Hola","Encantado de conocerte",0
"Hola","Buenos días",0
"Hola","No hiciste mucho anoche",0
"Hola","Hola",0
"Hola","Hola",0
"Hola","Hola",0
"hola compañero","hola",0
"Hola compañero","Encantado de conocerte",0
"Hola compañero","Buenos días",0
"Hola Compañero","No hiciste mucho anoche",0
"hola compañero","hola",0
"hola compañero","hola",0
"hola compañero","hola",0
"Gracias","De nada",0
"Gracias","De nada",0
"Gracias","De nada",0
"Gracias","No",0
"Gracias","No",0
"Gracias","No",0
"Gracias","Nada",0
"Gracias","Nada",0
"Gracias","Nada",0
"Sí, gracias","De nada",0
"Si gracias","Nada",0
"Sí, gracias","No",0
"Sí, gracias","De nada",0
"Sí, gracias","Cualquier cosa",0
"Sí, gracias","No",0
"Está bien, me tomaré un descanso hoy", "Ánimo", 0
"Está bien, tomaré un descanso hoy", "Haz tu mejor esfuerzo en el tiempo restante", 0
"Está bien, necesito tomar un descanso hoy", "Sí, tómate un descanso y hazlo", 0
"Está bien, tomaré un descanso hoy", "No es mucho, por favor haz lo mejor que puedas", 0
"Está bien, me tomaré un descanso hoy", "Es una buena idea", 0
"Está bien, me tomaré un descanso hoy", "Es una buena idea", 0
"Tengo que", "Ánimo", 0
"Tengo que hacer eso","Haz tu mejor esfuerzo en el tiempo restante",0
“Tengo que hacer eso”, “Sí, tómate un descanso y hazlo”, 0
"Tengo que hacer eso","Ya falta poco, haz lo mejor que puedas",0
"Debería","Es una buena idea",0
"Debería","Es una buena idea",0
"Debería","Ánimo",0
"Debería hacer eso","Haz tu mejor esfuerzo en el tiempo restante",0
"Debería hacer eso","Sí, tómate un descanso y hazlo",0
"Tengo que hacer eso","No es mucho, por favor haz tu mejor esfuerzo",0
"Debería","Es una buena idea",0
"Debería","Es una buena idea",0
"Debería ser","Ánimo",0
"Así es como debe ser","Haz lo mejor que puedas en el tiempo restante",0
“Así debe ser”, “Sí, tómate un respiro y hazlo”, 0
"Así debe ser", "Ya falta poco, haz lo mejor que puedas", 0
"Debería ser","Es una buena idea",0
"Debería","Es una buena idea",0
"Sí, lo haré","Ánimo",0
"Sí, lo haré","Haz tu mejor esfuerzo en el tiempo restante",0
“Sí, lo haré”, “Sí, tómate un descanso y hazlo”, 0
"Sí, lo haré","No es mucho, por favor haz tu mejor esfuerzo",0
"Sí, lo haré","Buena idea",0
"Sí, lo haré","Buena idea",0
"Sí, debería","Ánimo",0
"Sí, debería","Haz tu mejor esfuerzo en el tiempo restante",0
"Sí, debería", "Sí, tómate un descanso y hazlo", 0
"Sí, debería", "No es mucho, por favor haz lo mejor que puedas", 0
"Sí, debería","Buena idea",0
"Sí, debería","Es una buena idea",0
"Sí, eso sería mejor", "Ánimo", 0
"Sí, eso sería mejor","Haz tu mejor esfuerzo en el tiempo restante",0
"Sí, eso sería mejor", "Sí, tómate un descanso y luego hazlo", 0
"Sí, eso sería mejor", "No es mucho, por favor haz lo mejor que puedas", 0
"Sí, eso sería mejor", "Es una buena idea", 0
"Sí, eso sería mejor", "Es una buena idea", 0
"Sí, eso sería mejor", "Ánimo", 0
"Sí, eso sería mejor","Haz tu mejor esfuerzo en el tiempo restante",0
"Sí, eso sería mejor", "Sí, tómate un descanso y luego hazlo", 0
"Sí, eso sería mejor", "Ya no falta mucho, haz lo mejor que puedas", 0
"sí, eso sería mejor","gran idea",0
"sí, eso sería mejor","gran idea",0
"Sí, creo que sería mejor", "Ánimo", 0
"Sí, creo que eso sería mejor","Haz tu mejor esfuerzo en el tiempo restante",0
"Sí, creo que sería mejor", "Sí, tómate un descanso y luego hazlo", 0
"Sí, creo que sería mejor", "No es mucho, por favor haz lo mejor que puedas", 0
"Sí, creo que sería bueno", "Es una buena idea", 0
"Sí, creo que sería bueno", "Es una buena idea", 0
"Sí, necesito descansar hoy", "Ánimo", 0
"Sí, necesito tomar un pequeño descanso hoy", "Haz tu mejor esfuerzo en el tiempo restante", 0
"Sí, necesito tomar un descanso hoy", "Sí, tomar un descanso", 0
"Sí, necesito tomar un descanso hoy", "No es mucho, por favor haz lo mejor que puedas", 0
"Sí, necesito tomar un descanso hoy", "Es una buena idea", 0
"Sí, necesito descansar hoy","Buena idea",0
“Sí, me tomo un descanso”, “Ánimo”,0
"Sí, descansaré un poco", "Haz tu mejor esfuerzo en el tiempo restante", 0
"Sí, me tomo un descanso","Sí, me tomo un descanso",0
"Sí, me tomaré un descanso", "No es mucho, por favor haz tu mejor esfuerzo", 0
"Sí, voy a tomar un descanso","Es una buena idea",0
"Sí, voy a tomar un descanso","Es una buena idea",0
“Sí, me tomo un descanso y lo vuelvo a hacer”, “Ánimo”,0
"Sí, necesito tomarme un descanso y hacerlo de nuevo","Haz tu mejor esfuerzo en el tiempo restante",0
“Sí, necesito tomar un descanso y hacerlo de nuevo”, “Sí, tomar un descanso y hacerlo de nuevo”, 0
"Sí, necesito tomar un descanso y hacerlo de nuevo", "No es mucho, por favor haz lo mejor que puedas", 0
“Sí, me tomo un descanso y lo vuelvo a hacer”, “Es una buena idea”, 0
"Sí, me tomo un descanso y lo vuelvo a hacer","Buena idea",0
"Necesito tomármelo con calma","Ánimo",0
"Necesito tomármelo con calma","Haz tu mejor esfuerzo en el tiempo restante",0
"Necesito tomar un descanso","Sí, tomar un descanso",0
"Necesito tomármelo con calma","No es mucho, por favor haz tu mejor esfuerzo",0
"Necesito tomármelo con calma","Es una buena idea",0
"Necesito tomármelo con calma","Es una buena idea",0
"Me tomo un descanso y lo vuelvo a hacer","Ánimo",0
"Necesito tomarme un descanso y hacerlo de nuevo","Haz tu mejor esfuerzo en el tiempo restante",0
"Necesito tomarme un descanso y hacerlo de nuevo","Sí, tomarme un descanso y hacerlo de nuevo",0
"Necesito tomarme un descanso y hacerlo de nuevo","No es mucho, por favor haz tu mejor esfuerzo",0
"Tomaré un descanso y lo haré de nuevo","Es una buena idea",0
"Tomaré un descanso y lo haré de nuevo","Buena idea",0
"Será mejor que me tome un descanso","Ánimo",0
"Es mejor tomar un descanso","Haz tu mejor esfuerzo en el tiempo restante",0
"Deberías tomar un descanso","Sí, tomar un descanso",0
"Será mejor que me tome un descanso","No es mucho, haz lo mejor que puedas",0
"Será mejor que me tome un descanso","Es una buena idea",0
"Será mejor que me tome un descanso","Es una buena idea",0
"Me tomo un descanso","Ánimo",0
"Me voy a descansar","Haz tu mejor esfuerzo en el tiempo restante",0
"Tomaré un descanso","Sí, toma un descanso",0
"Tomaré un descanso", "No es mucho, por favor haz lo mejor que puedas", 0
"Descansaré un poco","Es una buena idea",0
"Tomaré un descanso","Es una buena idea",0
“Me siento bien porque hace buen tiempo”, “También es un buen día para mí”, 0
"Hace buen tiempo, así que me siento bien","Es un buen día para mí también",0
“Me siento bien porque hace buen tiempo”, “Es un buen día para mí también”, 0
“Me siento bien porque hace buen tiempo”, “Sí, yo también me siento bien”, 0
“Me siento bien porque hace buen tiempo”, “Sí, yo también me siento bien”, 0
“Me siento bien porque hace buen tiempo”, “Sí, yo también me siento bien”, 0
“Me siento bien porque hace buen tiempo”, “Creo que me hace sentir mejor”, 0
“Hace buen tiempo, así que me siento bien”, “Sí, creo que me hace sentir mejor”, 0
“Me siento bien porque hace buen tiempo”, “Creo que me siento mejor”, 0
"¿Habría menos gente mañana?", "Eso espero", 0
"¿Habrá menos gente mañana?", "Eso espero", 0
"¿Estaré menos ocupado mañana?", "Espero que estés menos ocupado", 0
"¿Habrá menos gente mañana?", "Eso espero", 0
"¿Habrá menos gente mañana?", "Eso espero", 0
"¿Estaré menos ocupado mañana?", "Espero que estés menos ocupado", 0
"Espero que mañana estés menos ocupado","Espero que lo estés",0
"Espero que mañana estés menos ocupado","Espero que lo estés",0
"Espero que mañana estés menos ocupado","Espero que estés menos ocupado",0
"¿Debería estar libre mañana?", "Eso espero", 0
"¿Debería estar libre mañana?", "Eso espero", 0
"¿Debería estar libre mañana?", "Espero que no estés ocupado", 0
"¿Debería estar libre mañana?", "Eso espero", 0
"¿Debería estar libre mañana?", "Eso espero", 0
"¿Debería estar libre mañana?", "Espero que no estés ocupado", 0
"Eres hombre o mujer","No soy ni hombre ni mujer",0
"Eres hombre o mujer","No soy ni hombre ni mujer",0
“Eres un hombre”, “No soy ni hombre ni mujer”, 0
"¿Eres mujer?", "No soy ni hombre ni mujer", 0
"¿Cuál es tu género?", "No soy ni hombre ni mujer", 0
"¿Cuál es tu género?", "No soy ni hombre ni mujer", 0
"¿Dónde vives?"Bundang, Seongnam",0
"¿Dónde vives?"Seongnam",0
"¿Dónde vives?", "Estoy en el Centro Global RND de Pangyo", 0
"¿Dónde vives?"Bundang, Seongnam",0
"¿Dónde vives?"Seongnam",0
"¿Dónde vives?", "Es en el Centro Global RND de Pangyo", 0
"¿Dónde estás ahora?"Bundang, Seongnam-si",0
"¿Dónde estás ahora?"Seongnam",0
"¿Dónde estás ahora?", "Estoy en el Centro Global RND de Pangyo", 0
"¿Dónde estás ahora?"Bundang, Seongnam-si",0
"¿Dónde estás ahora?"Seongnam",0
"¿Dónde estás ahora?", "Estoy en el Centro Global RND en Pangyo", 0
"¿Dónde estás ahora?"Bundang, Seongnam-si",0
"¿Dónde estás ahora?"Seongnam",0
"¿Dónde estás ahora?", "Estoy en el Centro Global RND en Pangyo", 0
"¿Dónde estás?"Bundang, Seongnam-si",0
"¿Dónde estás?", Seongnam, 0
"¿Dónde estás?", "Estoy en el Centro Global RND de Pangyo", 0
"¿Dónde estás?"Bundang, Seongnam-si",0
"¿Dónde estás?", Seongnam, 0
"¿Dónde estás?", "Estoy en el Centro Global RND de Pangyo", 0
"¿Dónde estás?"Bundang, Seongnam-si",0
"¿Dónde estás?", Seongnam, 0
"¿Dónde estás?", "Estoy en el Centro Global RND de Pangyo", 0
"¿Dónde estás ahora?"Bundang, Seongnam-si",0
"¿Dónde estás ahora?"Seongnam",0
"¿Dónde estás ahora?", "Estoy en el Centro Global RND de Pangyo", 0
"¿Cómo te llamas?", "Soy un acompañante", 0
"¿Cómo te llamas?", "Soy un acompañante", 0
"como te llamas","soy un acompañante",0
"¿Cómo te llamas?", "Soy un acompañante", 0
"¿Qué eres?", "Soy un compañero", 0
"¿Cómo te llamas?", "Soy un acompañante", 0
"¿Qué eres?", "Soy un compañero", 0
"Dime tu nombre","Soy un acompañante",0
"¿Cómo te llamas?", "Eres un compañero", 0
"¿Cómo te llamas?", "Eres un compañero", 0
"como te llamas","compañero",0
"¿Cómo te llamas?", "Es un compañero", 0
"que eres","compañero",0
"¿Cómo te llamas?", "Es un compañero", 0
"¿Qué eres?", "Eres un compañero", 0
"Dime tu nombre","Es un compañero",0
"como te llamas","compañero",0
"como te llamas","compañero",0
"como te llamas","compañero",0
"¿Cómo te llamas?", "Es un compañero", 0
"¿Qué eres?", "Es un compañero", 0
"¿Cómo te llamas?", "Es un compañero", 0
"¿Qué eres?", "Eres un compañero", 0
"Dime tu nombre","Es un compañero",0
"Estoy lleno", "¿Disfrutaste tu almuerzo?",0
"Estoy lleno", "¿Disfrutaste tu almuerzo?",0
"Estoy lleno", "¿Te gustó tu almuerzo?", 0
"Estoy lleno", "Cómo estuvo la comida", 0
"Estoy lleno", "Cómo estuvo el almuerzo", 0
"Estoy lleno","Que tal tu almuerzo",0
"Estoy lleno", "Te gustó la comida", 0
"Estoy lleno","Disfruté tu comida",0
"Estoy lleno", "Me alegro de que hayas disfrutado de tu comida", 0
"Estoy lleno","Pareces haber comido bien",0
"Oh, estoy lleno", "¿Disfrutaste tu almuerzo?",0
"Oh, estoy lleno", "¿Disfrutaste tu almuerzo?",0
"Oh, estoy lleno", "¿Te gustó el almuerzo?", 0
"Oh, estoy lleno", "¿Cómo estuvo la comida?",0
"Oh, estoy lleno", "¿Cómo estuvo el almuerzo?", 0
"Oh, estoy lleno", "Cómo estuvo tu almuerzo", 0
"Oh, estoy lleno", "Te gustó la comida", 0
"Ah, estoy lleno", "Disfrutaste tu comida", 0
"Oh, estoy lleno", "Me alegro de que hayas disfrutado de tu comida", 0
"Ah, estoy lleno", "Parece que has comido bien", 0
"Estoy lleno", "¿Disfrutaste tu almuerzo?",0
"Estoy lleno", "¿Disfrutaste tu almuerzo?",0
"Estoy lleno", "Te gustó tu almuerzo", 0
"Estoy lleno", "Cómo estuvo la comida", 0
"Estoy lleno", "Cómo estuvo el almuerzo", 0
"Estoy lleno", "Cómo estuvo tu almuerzo", 0
"Estoy lleno","Te gusto la comida",0
"Estoy lleno","Disfrutaste tu comida",0
"Estoy lleno", "Me alegro de que hayas disfrutado de tu comida", 0
"Estoy lleno","Pareces haber comido bien",0
"Estoy lleno", "¿Disfrutaste tu almuerzo?",0
"Estoy lleno", "¿Disfrutaste tu almuerzo?",0
"Estoy lleno", "¿Te gustó tu almuerzo?", 0
"Estoy lleno","Como estuvo la comida",0
"Estoy lleno", "Cómo estuvo el almuerzo", 0
"Estoy lleno","Que tal tu almuerzo",0
"Estoy lleno","Te gusto la comida",0
"Estoy lleno","Disfruté tu comida",0
"Estoy lleno", "Me alegro de que hayas comido bien", 0
"Estoy lleno","Pareces haber comido bien",0
"Oh, estoy lleno", "¿Disfrutaste tu almuerzo?",0
"Oh, estoy lleno", "Disfrutaste tu almuerzo", 0
"Oh, estoy lleno", "Te gustó tu almuerzo", 0
"Oh, estoy lleno", "¿Cómo estuvo la comida?",0
"Oh, estoy lleno", "Cómo estuvo el almuerzo", 0
"Oh, estoy lleno", "Cómo estuvo tu almuerzo", 0
"Oh, estoy lleno", "Te gustó la comida", 0
"Oh, estoy lleno","Disfrutaste tu comida",0
"Oh, estoy lleno", "Me alegro de que hayas disfrutado de tu comida", 0
"Oh, estoy lleno", "Parece que has comido bien", 0
"Oh, estoy tan llena", "¿Disfrutaste tu almuerzo?",0
"Oh, estoy tan llena", "¿Disfrutaste tu almuerzo?", 0
"Oh, estoy tan lleno", "¿Te gustó el almuerzo?", 0
"Oh, estoy tan lleno", "Cómo estuvo la comida", 0
"Oh, estoy tan lleno", "¿Cómo estuvo el almuerzo?", 0
"Oh, estoy tan lleno", "Cómo estuvo tu almuerzo", 0
"Oh, estoy tan lleno", "La comida estuvo bien", 0
"Oh, estoy tan lleno", "Disfrutaste tu comida", 0
"Oh, estoy tan lleno", "Me alegro de que hayas disfrutado de tu comida", 0
"Oh, estoy tan llena", "Parece que has comido bien", 0
"Estoy tan lleno", "¿Disfrutaste tu almuerzo?",0
"Estoy tan lleno", "¿Disfrutaste tu almuerzo?",0
"Estoy tan lleno", "¿Te gustó tu almuerzo?", 0
"Estoy tan lleno", "¿Cómo estuvo la comida?",0
"Estoy tan lleno", "Cómo estuvo tu almuerzo", 0
"Estoy tan lleno", "Cómo estuvo tu almuerzo", 0
"Estoy tan lleno","La comida estuvo bien",0
"Estoy tan lleno", "Comiste bien", 0
"Estoy tan lleno", "Me alegro de que hayas disfrutado de tu comida", 0
"Estoy tan lleno", "Parece que has comido bien", 0
"Estoy muy lleno", "¿Disfrutaste tu almuerzo?",0
"Estoy muy lleno", "¿Disfrutaste tu almuerzo?", 0
"Estoy muy lleno", "Te gustó el almuerzo", 0
"Estoy muy lleno", "Cómo estuvo la comida", 0
"Estoy muy lleno", "Cómo estuvo el almuerzo", 0
"Estoy muy llena","¿Qué tal tu almuerzo?",0
"Estoy muy lleno","La comida estuvo bien",0
"Estoy muy lleno", "Comiste bien", 0
"Estoy muy lleno","Me alegro de que hayas disfrutado de tu comida",0
"Estoy muy lleno", "Parece que has comido bien", 0
"Estoy lleno", "¿Disfrutaste tu almuerzo?",0
"Estoy completamente lleno", "¿Disfrutaste tu almuerzo?", 0
"Estoy completamente lleno", "¿Te gustó el almuerzo?", 0
"Estoy completamente lleno", "Cómo estuvo la comida", 0
"Estoy completamente lleno", "Cómo estuvo tu almuerzo", 0
"Estoy lleno", "Cómo estuvo tu almuerzo", 0
"Estoy completamente lleno","Disfruté la comida",0
"Estoy completamente lleno", "Comiste bien", 0
"Estoy completamente lleno", "Me alegro de que hayas disfrutado de tu comida", 0
"Estoy completamente lleno", "Parece que has comido bien", 0
"Ah, comí bien", "¿Disfrutaste tu almuerzo?",0
"Ah, comí bien", "¿Disfrutaste tu almuerzo?",0
"Ah, comí bien", "¿Te gustó el almuerzo?", 0
"Ay, comí bien", "Cómo estuvo la comida", 0
"Oh, comí bien", "Cómo estuvo tu almuerzo", 0
"Oh, comí bien", "Cómo estuvo tu almuerzo", 0
"Ah, comí bien", "La comida estuvo buena", 0
"Ah, comí bien", "Disfruté la comida", 0
"Oh, comí bien", "Me alegro de que hayas comido bien", 0
"Oh, comí bien", "Parece que comiste bien", 0
"Ah, comí tan bien", "¿Disfrutaste tu almuerzo?",0
"Ah, comí tan bien", "¿Disfrutaste tu almuerzo?",0
"Oh, comí tan bien", "¿Te gustó el almuerzo?", 0
"Ah, comí tan bien", "¿Cómo estuvo la comida?",0
"Oh, comí tan bien", "Cómo estuvo el almuerzo", 0
"Oh, comí tan bien", "¿Cómo estuvo tu almuerzo?",0
"Ah, comí tan bien", "La comida estuvo buena", 0
"Ah, comí tan bien", "Comiste bien", 0
"Ah, comí tan bien", "Me alegro de que hayas disfrutado tu comida", 0
"Ah, comí tan bien", "Parece que comiste bien", 0
"Comí muy bien", "Disfrutaste tu almuerzo", 0
"Comí muy bien", "¿Disfrutaste tu almuerzo?",0
"Comí muy bien", "¿Te gustó tu almuerzo?", 0
"Comí muy bien", "Cómo estuvo la comida", 0
"Comí muy bien", "Cómo estuvo el almuerzo", 0
"Comí muy bien", "Qué tal tu almuerzo", 0
"Comí muy bien", "La comida estuvo buena", 0
"Comí muy bien", "Comiste bien", 0
"Comí bien", "Me alegro de que hayas comido bien", 0
"Comí muy bien", "Parece que comiste bien", 0
"Comí muy bien hoy", "¿Disfrutaste tu almuerzo?",0
"Comí muy bien hoy", "¿Disfrutaste tu almuerzo?",0
"Comí muy bien hoy", "¿Te gustó tu almuerzo?", 0
"Comí muy bien hoy", "Cómo estuvo tu comida", 0
"Comí muy bien hoy", "Cómo estuvo el almuerzo", 0
"Comí muy bien hoy", "Cómo estuvo tu almuerzo", 0
"Comí muy bien hoy", "Disfruté la comida", 0
"Comí muy bien hoy", "Comiste bien", 0
"Comí muy bien hoy", "Me alegro de que hayas comido bien", 0
"Comí muy bien hoy", "Parece que comiste bien", 0
"Comí bien hoy", "¿Disfrutaste tu almuerzo?", 0
"Comí bien hoy", "¿Disfrutaste tu almuerzo?", 0
"Comí bien hoy", "Te gustó el almuerzo", 0
"Comí bien hoy", "Cómo estuvo la comida", 0
"Comí bien hoy", "Cómo estuvo el almuerzo", 0
"Comí bien hoy", "Cómo estuvo tu almuerzo", 0
"Comí bien hoy", "Te gustó la comida", 0
"Comí bien hoy", "Comiste bien", 0
"Comí bien hoy", "Me alegro de que hayas comido bien", 0
"Comí bien hoy", "Parece que comiste bien", 0
"Comí bien", "Disfrutaste tu almuerzo", 0
"Comí bien", "Disfrutaste tu almuerzo", 0
"Comí bien", "Te gustó el almuerzo", 0
"Comí bien", "Cómo estuvo la comida", 0
"Comí bien", "Cómo estuvo el almuerzo", 0
"Comí bien", "Cómo estuvo tu almuerzo", 0
"Comí bien", "Disfruté la comida", 0
"Comí bien", "Disfruté la comida", 0
"Comí bien", "Me alegro de que hayas comido bien", 0
"Comí bien", "Parece que comiste bien", 0
"Tengo hambre","Come algo rico hoy",0
"Ah, tengo hambre", "Disfruta de una comida abundante con algo delicioso hoy", 0
"Tengo hambre","Disfruta de una rica comida hoy",0
"Ya tengo hambre", "Come algo rico hoy", 0
"Tengo hambre","¿Qué tal una merienda?",0
"Tengo hambre","¿Qué tal una merienda?",0
"Tengo hambre","¿Qué tal una merienda?",0
"Ya tengo hambre","Quieres merendar",0
"Tengo tanta hambre", "Come algunos bocadillos", 0
"Tengo tanta hambre", "Come un bocadillo rápido", 0
"Tengo tanta hambre", "Solo toma un vaso de leche", 0
"Tengo mucha hambre","¿Qué tal comer un poco de pan para la merienda?",0
"No he desayunado, así que tengo hambre", "Come algunos bocadillos", 0
"No he desayunado y tengo hambre","Toma un tentempié ligero",0
"No he desayunado y tengo hambre","Fácil tomar un vaso de leche",0
"No he desayunado y tengo hambre","¿Qué tal comer pan de merienda?",0
"Me está dando hambre", "Come algunos bocadillos", 0
"Me está dando hambre","Come un refrigerio ligero",0
"Me está dando hambre","Fácil tomar un vaso de leche",0
"Me está dando hambre","¿Qué tal comer pan como snack?",0
"Tengo hambre poco a poco","Cómete unos bocadillos",0
"Tengo hambre poco a poco","Cómete un tentempié",0
"Tengo hambre poco a poco","Solo toma un vaso de leche",0
“Tengo hambre poco a poco”, “Qué tal si comemos pan de merienda”, 0
"Me está dando hambre", "Come algunos bocadillos", 0
"Me está dando hambre", "Come un bocadillo", 0
"Me está dando hambre","Fácil tomar un vaso de leche",0
“Cada vez tengo más hambre”, “Qué tal comer pan como tentempié”, 0
"El almuerzo de hoy no estuvo muy bueno", "Come algo rico mañana", 0
"El almuerzo de hoy no estuvo bueno", "Disfruta de una comida mejor mañana", 0
"El almuerzo de hoy no fue muy bueno", "Mañana tendrás una comida mejor", 0
"El almuerzo no estuvo bueno hoy", "Come más bocadillos", 0
"El almuerzo estuvo muy mal","Come algo delicioso mañana",0
"El almuerzo fue tan malo","Disfruta de una comida mejor mañana",0
"El almuerzo fue tan malo", "Mañana tendrás una comida mejor", 0
"El almuerzo fue tan malo","Come más bocadillos",0
"El almuerzo de hoy estuvo tan malo","Come algo rico mañana",0
"El almuerzo de hoy fue tan malo","Comamos mejor mañana",0
"El almuerzo de hoy fue tan malo", "Mañana tendrás una comida mejor", 0
"El almuerzo de hoy fue tan malo","Come más bocadillos",0
"El menú del almuerzo era tan malo", "Come algo rico mañana", 0
"El menú del almuerzo era tan malo", "Disfruta de una comida mejor mañana", 0
"El menú del almuerzo era tan malo", "Mañana tendrás una comida mejor", 0
"El menú del almuerzo era tan malo","Come más bocadillos",0
"El almuerzo fue tan insípido", "Come algo delicioso mañana", 0
"El almuerzo fue tan malo","Comamos mejor mañana",0
"El almuerzo fue tan malo", "Mañana tendrás una comida mejor", 0
"El almuerzo fue tan malo","Come más bocadillos",0
"El almuerzo estuvo tan mal","Come algo rico mañana",0
"El almuerzo fue tan malo","Disfruta de una comida mejor mañana",0
"El almuerzo fue tan malo", "Mañana tendrás una comida mejor", 0
"El almuerzo fue tan malo","Come más bocadillos",0
"No comí mucho porque el arroz no estaba bueno", "Come algo rico mañana", 0
"No comí mucho porque el arroz no estaba bueno", "Come mejor mañana", 0
"No comí mucho porque el arroz no estaba bueno", "Mañana comerás mejor", 0
"No comí mucho porque el arroz no estaba bueno", "Come más bocadillos", 0
"La comida de hoy estuvo tan mala", "Come algo delicioso mañana", 0
"La comida de hoy fue tan mala", "Comamos mejor mañana", 0
"La comida de hoy fue terrible", "Mañana tendrás una comida mejor", 0
"La comida de hoy estuvo terrible","Come más bocadillos",0
"Estoy cansado","Tienes alguna inquietud, dime",0
"Estoy cansado","Si estás muy cansado, tómate un descanso",0
"Estoy cansado", "¿Qué te preocupa?", 0
"Estoy cansada", "Qué tal si vamos a caminar", 0
"Estoy cansado","Dar un pequeño paseo",0
"Estoy cansado", "Creo que estirar ayudará con la fatiga", 0
"Estoy cansado", "Sería bueno estirar", 0
“Estoy cansada”, “Qué tal estirarme y descansar un rato”, 0
"Estoy cansado", "Tomarse un descanso puede aumentar la eficiencia en el trabajo", 0
"Estoy cansado","Tómate un descanso",0
"Estoy cansado","Es bueno tomar un descanso un rato",0
"Estoy cansado","¿Qué tal si tomamos un pequeño descanso?",0
"Estoy cansado","Sería bueno tener un pequeño descanso",0
"Estoy cansado","Tomar un descanso puede aumentar la eficiencia en el trabajo",0
"Estoy cansado","¿Qué tal si tomamos un descanso?",0
“Estoy un poco cansada hoy”, “Tienes alguna inquietud, cuéntame”, 0
"Estoy un poco cansado hoy", "Si estás muy cansado, tómate un descanso", 0
"Hoy estoy un poco cansada", "¿Tienes alguna inquietud?", 0
"Estoy un poco cansada hoy", "Qué tal si vamos a caminar", 0
"Hoy estoy un poco cansada", "Da un pequeño paseo", 0
"Estoy un poco cansado hoy", "Creo que estirar ayudará con la fatiga", 0
"Hoy estoy un poco cansada", "Sería bueno estirarme", 0
“Estoy un poco cansada hoy”, “Qué tal estirarme y descansar un rato”, 0
"Estoy un poco cansado hoy", "Tomar un descanso puede aumentar la eficiencia en el trabajo", 0
"Hoy estoy un poco cansada","Tómate un descanso",0
"Estoy un poco cansado hoy", "Es bueno tomar un descanso por un tiempo", 0
"Hoy estoy un poco cansada", "¿Qué tal si tomamos un pequeño descanso?", 0
"Estoy un poco cansada hoy", "Sería bueno tener un pequeño descanso", 0
"Estoy un poco cansado hoy", "Tomar un descanso puede aumentar la efectividad del trabajo", 0
"Hoy estoy un poco cansada","¿Qué tal si tomamos un descanso?",0
"Estoy muy cansada hoy", "Tienes alguna preocupación, dime", 0
"Estoy muy cansado hoy", "Si estás muy cansado, tómate un descanso", 0
"Estoy muy cansado hoy", "¿Qué te preocupa?", 0
"Hoy estoy muy cansada","¿Qué tal si salimos a caminar?",0
"Hoy estoy muy cansada","Dar un pequeño paseo",0
“Hoy estoy muy cansada”, “Creo que estirar ayudará con el cansancio”, 0
"Hoy estoy muy cansada", "Sería bueno estirarme", 0
“Estoy muy cansada hoy”, “Qué tal estirarme y descansar un rato”, 0
"Hoy estoy muy cansado", "Tomarme un descanso puede aumentar la eficiencia en el trabajo", 0
"Hoy estoy muy cansada","Tómate un descanso",0
"Estoy muy cansada hoy", "Es bueno tomar un descanso un rato", 0
"Hoy estoy muy cansada","¿Qué tal si tomamos un pequeño descanso?",0
"Estoy muy cansada hoy", "Sería bueno tener un pequeño descanso", 0
"Hoy estoy muy cansado","Tomar un descanso puede aumentar la eficiencia del trabajo",0
"Hoy estoy muy cansada","¿Qué tal si tomamos un descanso?",0
